"Geo","Year","Latitude","Longitude"
"31",2005,"45.027873056350003","-123.10473618029"
"32",2005,"45.003035774330002","-123.09888482528"
"33",2005,"44.991975059349997","-123.11883039199"
"34",2005,"44.975992189369997","-123.11378932731"
"35",2005,"44.962640380730001","-123.12184835163001"
"36",2005,"44.951334144150003","-123.13774906074001"
"37",2005,"44.931462200699997","-123.12918947219001"
"38",2005,"44.933682327699998","-123.09438928831"
"39",2005,"44.942841158649998","-123.11352565529999"
"40",2005,"44.958019313629997","-123.1023517605"
"41",2005,"44.96558780798","-123.09978981899"
"42",2005,"45.000814625270003","-123.07418880049001"
"43",2005,"44.975923785749998","-123.05035996446"
"44",2005,"44.98027744214","-123.07182108526"
"45",2005,"44.979493316229998","-123.08518078275"
"47",2005,"44.973643135730001","-123.07197187872001"
"48",2005,"44.971818175469998","-123.05948634476"
"49",2005,"44.968431543400001","-123.06936703316001"
"50",2005,"44.967604411400004","-123.08555063783"
"51",2005,"44.963157240839998","-123.06914382905001"
"52",2005,"44.95575925496","-123.05791036338"
"53",2005,"44.959786155259998","-123.05222411949001"
"54",2005,"44.955097123489999","-123.07182661533"
"55",2005,"44.95825322356","-123.08574465702"
"56",2005,"44.949506259110002","-123.09559939326"
"61",2005,"44.950942126149997","-123.04551325644"
"64",2005,"44.94581790862","-123.0527857145"
"65",2005,"44.94838776356","-123.06390607905"
"66",2005,"44.944993044249998","-123.07520706445"
"67",2005,"44.947186577110003","-123.08683709664"
"70",2005,"44.940344012380002","-123.08842333669"
"71",2005,"44.934285353500002","-123.07421573766"
"74",2005,"44.942656209390002","-123.06823543810999"
"75",2005,"44.942982823160001","-123.06327422456"
"76",2005,"44.939197676799999","-123.06126363529999"
"77",2005,"44.941330336500002","-123.05618675567"
"78",2005,"44.945273822750003","-123.05870684555001"
"80",2005,"45.032676124849999","-123.0476269401"
"81",2005,"45.0041565573","-123.06124978486"
"82",2005,"45.009897743650001","-123.03703514969"
"83",2005,"45.042377604309998","-123.00388653745"
"84",2005,"45.042140165920003","-122.98525297445001"
"85",2005,"45.031568928490003","-122.9933870137"
"86",2005,"45.022808975049998","-122.99885024824"
"87",2005,"45.031752367099998","-123.01395060311999"
"88",2005,"45.025315453429997","-123.02652083364001"
"89",2005,"45.024525579219997","-123.01858167944"
"90",2005,"45.017168328369998","-123.02216935149001"
"91",2005,"45.017620138029997","-123.01556766227"
"92",2005,"45.01184449654","-123.00004746854"
"94",2005,"45.011847509710002","-123.01013916461"
"95",2005,"45.008974486370001","-123.01758888545"
"100",2005,"45.001274566219998","-123.00485486174"
"103",2005,"45.002963506679997","-123.01376048012"
